Plant Name,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
Coastal Bush Lupine (Lupinus arboreus),Shrub,"3.5 - 7 ft tall
4 ft wide",Upright,"Fast, Moderate",Evergreen,"Yellow, Lavender",Spring,,"Silvery Blue
Glaucopsyche lygdamus

West Coast Lady
Vanessa annabella

Ranchman's Tiger Moth
Arctia virginalis

Genista Caterpillar
Uresiphita reversalis

Sweetclover Root Borer Moth
Walshia miscecolorella

Orange Tortrix Moth
Argyrotaenia franciscana","Silvery Blue
Glaucopsyche lygdamus","West Coast Lady
Vanessa annabella","Ranchman's Tiger Moth
Arctia virginalis","Genista Caterpillar
Uresiphita reversalis","Sweetclover Root Borer Moth
Walshia miscecolorella","Orange Tortrix Moth
Argyrotaenia franciscana",,Full Sun,"Extremely Low, Very Low, Moderate - High",Max 2x / month once established,Carried by 32,Tolerates cold to -12° F,Fast,Typically sandy soil. Soil PH: 4.0 - 7.0,"Deer Resistant, Bird Gardens, Butterfly Gardens, Bee Gardens",Use with other chaparral and coastal strand species.,"Readily self-sows. Because of its invasive tendency, it is advisable to remove seed pods as soon as they develop.","4*, 5*, 14, 15*, 16*, 17*, 19, 21, 22*, 23*, 24*","Bluffs, dunes and slopes","Annual Precipitation: 10.8"" - 76.4"", Summer Precipitation: 0.14"" - 2.52"", Coldest Month: 41.0"" - 55.5"", Hottest Month: 56.5"" - 78.2"", Humidity: 0.01"" - 25.97"", Elevation: -123"" - 5560""","Common Names: Tree Lupine, Yellow Bush Lupine",,,
Spiny Rush (Juncus acutus),"Grass, Shrub","5 ft tall
5 ft wide",Fountain,Moderate,Evergreen,None,Brown,,"*
White-lined Sphinx
Hyles lineata

*
Yellow-Collared Scape Moth
Cisseps fulvicollis

*
Javelin Moth
Bactra verutana

*
Mottled Marble
Bactra furfurana","White-lined Sphinx
Hyles lineata","Yellow-Collared Scape Moth
Cisseps fulvicollis","Javelin Moth
Bactra verutana","Mottled Marble
Bactra furfurana",Full Sun,Moderate - High,Keep moist,Carried by 13,Very Easy,Tolerates cold to 25° F,"Slow, Standing","Tolerates almost any soil as long as adequate moisture is present. Tolerates Saline Soil,Tolerates Sodic Soil. Soil PH: 5.0 - 9.0","Bogs and Ponds, Groundcovers","Use with plants from similar wet, salty or alkaline places, such as Saltbush (Atriplex sp.), Sedge (Carex sp.), Saltgrass (Distichlis spicata), Beaked Spikerush (Eleocharis rostellata), Palmer's Frankenia (Frankenia palmeri), San Diego Marsh Elder (Iva hayesiana), Baja Desert Thorn (Lycium brevipes)",For propagating by seed: No treatment.,"Seeps, meadows, salt marsh, dunes, and adjacent areas, primarily along the southern coast","Annual Precipitation: 2.7"" - 36.4"", Summer Precipitation: 0.15"" - 1.38"", Coldest Month: 42.1"" - 60.1"", Hottest Month: 62.6"" - 88.8"", Humidity: 0.92"" - 40.20"", Elevation: -142"" - 3968""",,,,,,,
Deerweed (Acmispon glaber),Perennial herb,"1.6 - 3 ft tall
3 ft wide",Fountain,Fast,"Summer Semi-Deciduous, Winter Deciduous",None,Yellow,"Winter, Spring, Summer","An important pollinator plant, it is host plant to Bramble Hairstreak, Afranius Duskywing, Persius Duskywing, and Acmon Blue butterflies. It is a nectar plant for other butterflies including the Chalcedon Checkerwing","Acmon Blue
Icaricia acmon

Orange Sulphur
Colias eurytheme

Silvery Blue
Glaucopsyche lygdamus

Marine Blue
Leptotes marina

Queen Alexandra's Sulphur
Colias alexandra

Bramble Hairstreak
Callophrys dumetorum","Acmon Blue
Icaricia acmon","Orange Sulphur
Colias eurytheme","Silvery Blue
Glaucopsyche lygdamus","Marine Blue
Leptotes marina","Queen Alexandra's Sulphur
Colias alexandra","Bramble Hairstreak
Callophrys dumetorum",,Full Sun,Very Low,Max 1x / month once established,Carried by 30,Tolerates cold to 15° F,Medium,Tolerates a wide variety of soils. Soil PH: 5.2 - 8.2,"Bee Gardens, Butterfly Gardens","Deerweed has no particular companion plants in the wild, but it can be used with virtually any other natives.",Can be cut back in late summer or early fall to stimulate new growth,"Most often seen in burned or disturbed areas along the coast and inland foothills, valleys and mountains","Annual Precipitation: 3.6"" - 69.6"", Summer Precipitation: 0.14"" - 2.77"", Coldest Month: 34.4"" - 59.1"", Hottest Month: 57.9"" - 88.0"", Humidity: 0.38"" - 38.93"", Elevation: -18"" - 7469""","Botanical Names: Lotus scoparius
Common Names: Common Deerweed",,,
Clustered Tarweed (Deinandra fasciculata),Annual herb,"3.3 ft tall
2 ft wide",Yellow,"Spring, Summer, Fall",,"Cyclophora dataria

*
White-lined Sphinx
Hyles lineata

*
Spotted Straw Sun Moth
Heliothis phloxiphaga

*
Chionodes nanodella",Cyclophora dataria,"White-lined Sphinx
Hyles lineata","Spotted Straw Sun Moth
Heliothis phloxiphaga",Chionodes nanodella,Full Sun,"Extremely Low, Very Low",Max 1x / month once established,Carried by 5,Tolerates cold to 20° F,"Fast, Medium",Tolerates a variety of soils as long as drainage is good. Soil PH: 5.1 - 8.2,Bee Gardens,"Use with other annuals or perennial herbs such as Poppy (Eschscholzia or Papaver sp.), Baby Blue Eyes (Nemophila menziesii), Cream Cups (Platystemon californicus), Phacelia sp., Lupine (Lupinus sp.), and with geophytes such as Onion (Allium sp.), Mariposa Lily (Calochortus sp.), and Blue Dicks (Dichelostemma capitatum). Also useful around various cactus and succulents such as Dudleya sp. and with native grasses.",By seed,"15*, 16*, 17*, 22*, 23*, 24*","Seasonally dry coastal plains, canyons, foothills and valleys of southern California. Occasionally in disturbed areas.","Annual Precipitation: 3.0"" - 34.5"", Summer Precipitation: 0.14"" - 1.89"", Coldest Month: 39.6"" - 58.6"", Hottest Month: 62.0"" - 88.8"", Humidity: 0.74"" - 39.46"", Elevation: -17"" - 6109""",Botanical Names: Hemizonia fasciculata,,,,,,,,,
Wright's Cudweed (Pseudognaphalium microcephalum),Perennial herb,"4 ft tall
2 ft wide",Summer Semi-Deciduous,"Cream, White","Summer, Fall",The flowers attract various insects when it is blooming in late summer,"*
American Lady
Vanessa virginiensis

*
White-lined Sphinx
Hyles lineata

*
Orange Tortrix Moth
Argyrotaenia franciscana

*
Egira hiemalis

*
Everlasting Tebenna Moth
Tebenna gnaphaliella

*
Hellinsia phoebus","American Lady
Vanessa virginiensis","White-lined Sphinx
Hyles lineata","Orange Tortrix Moth
Argyrotaenia franciscana",Egira hiemalis,"Everlasting Tebenna Moth
Tebenna gnaphaliella",Hellinsia phoebus,,"Part Shade, Full Sun",Low,Max 1x / month once established,Carried by 3,Tolerates cold to 10° F,"Fast, Medium, Slow","Tolerant of a variety of soils including clay, shale, sand, etc.. Soil PH: 5.0 - 8.0","Butterfly Gardens, Bee Gardens","In the wild it is most often seen with other pioneer species such as Lotus (Acmispon sp.), native grasses, and wildflowers.",By seed,"Flats and slope bottoms, rocky soils. This is a pioneer species that is often found in open or disturbed areas.","Annual Precipitation: 8.1"" - 75.9"", Summer Precipitation: 0.15"" - 2.19"", Coldest Month: 27.0"" - 56.6"", Hottest Month: 54.6"" - 80.6"", Humidity: 0.51"" - 30.77"", Elevation: -1"" - 7376""","Botanical Names: Gnaphalium canescens ssp. microcephalum,Gnaphalium canescens ssp. microcephalum;Pseudognaphalium canescens ssp. microcephalum",,,,,,
Miniature Lupine (Lupinus bicolor),"Perennial herb, Annual herb","0.26 - 1.3 ft tall
1 ft wide","Blue, Lavender, Purple, White",Spring,The flowers attract numerous insects. Lupines generally are host plant for the Arrowhead Blue butterfly.,"*
Painted Lady
Vanessa cardui

*
Gray Hairstreak
Strymon melinus

*
Acmon Blue
Icaricia acmon

*
Orange Sulphur
Colias eurytheme

*
Silvery Blue
Glaucopsyche lygdamus

*
Shasta Blue
Icaricia shasta","Painted Lady
Vanessa cardui","Gray Hairstreak
Strymon melinus","Acmon Blue
Icaricia acmon","Orange Sulphur
Colias eurytheme","Silvery Blue
Glaucopsyche lygdamus","Shasta Blue
Icaricia shasta",,Full Sun,Low,Max 1x / month once established,Carried by 18,Tolerates cold to 5° F,Medium,Tolerates a variety of soils including very poor soil. Soil PH: 5.8 - 8.2,"Bird Gardens, Butterfly Gardens, Bee Gardens","This plant is best used in a large open, sunny area where it can be sown in a mass along with other annual wildflowers.",For propagating by seed: Fresh seeds need no treatment. Stored seeds scarificat ion or hot water; No treatment may give fair germination.,"7*, 8*, 9*, 10, 11, 12, 14*, 15*, 16*, 17*, 18, 19, 20*, 21*, 22*, 23*, 24*","Dry meadows, grasslands, prairies, open or disturbed places","Annual Precipitation: 3.2"" - 115.2"", Summer Precipitation: 0.14"" - 2.96"", Coldest Month: 29.6"" - 59.4"", Hottest Month: 50.4"" - 88.1"", Humidity: 0.01"" - 39.05"", Elevation: 0"" - 8996""","Common Names: Annual Lupine, Bicolored Lupine, Miniature Lupine Due To Its Diminutive Size",,,,,,
Telegraph Weed (Heterotheca grandiflora),"Perennial herb, Annual herb","2.5 - 3.5 ft tall
1.5 ft wide",Upright,Fast,Summer Deciduous,Yellow,"Winter, Spring, Summer, Fall","Insects are attracted to the flowers, especially bees and butterflies","Gabb's Checkerspot
Chlosyne gabbii

*
Bordered Patch
Chlosyne lacinia

*
White-lined Sphinx
Hyles lineata

*
Virginian Tiger Moth
Spilosoma virginica

*
Common Eupithacia
Eupithecia miserulata

*
Southern Emerald
Synchlora frondaria","Gabb's Checkerspot
Chlosyne gabbii","Bordered Patch
Chlosyne lacinia","White-lined Sphinx
Hyles lineata","Virginian Tiger Moth
Spilosoma virginica","Common Eupithacia
Eupithecia miserulata","Southern Emerald
Synchlora frondaria",,Full Sun,Very Low,Never irrigate once established,Carried by 4,Tolerates cold to 15° F,"Fast, Medium, Slow",Not particular as to soil. Soil PH: 5.1 - 8.2,Bee Gardens,Can be used with virtually any native plants,"7, 8, 9*, 10, 14*, 15*, 16*, 17*, 18, 19*, 20*, 21*, 22*, 23*, 24*","Disturbed places, dry streams, dunes","Annual Precipitation: 3.2"" - 72.4"", Summer Precipitation: 0.15"" - 2.73"", Coldest Month: 39.7"" - 59.2"", Hottest Month: 59.8"" - 88.4"", Humidity: 0.47"" - 39.11"", Elevation: -36"" - 6112""",Common Names: Telegraphweed,,,,
Black Elderberry (Sambucus nigra),"Shrub, Tree","13.1 - 30 ft tall
10 - 20 ft wide","Spreading, Upright",Fast,Winter Deciduous,"Cream, White, Purple, Black",Spring,Insects and hummingbirds are attracted to the flowers. Many birds and some mammals are attracted to the berries.,"Elder Moth
Zotheca tranquilla

Tacoma Cutworm
Trichordestra tacoma

Acerra normalis

Admetovis oxymorus

*
White-lined Sphinx
Hyles lineata

*
Polyphemus moth
Antheraea polyphemus","Elder Moth
Zotheca tranquilla","Tacoma Cutworm
Trichordestra tacoma",Acerra normalis,Admetovis oxymorus,"White-lined Sphinx
Hyles lineata","Polyphemus moth
Antheraea polyphemus",,Low,Max 2x / month once established,Carried by 38,Very Easy,Tolerates cold to 0° F,Medium,Tolerates most soils. Soil PH: 5.0 - 8.0,"Hedges, Deer Resistant, Bird Gardens, Bee Gardens","Use caution in placement because the berries can be messy, staining concrete or cars. Can be used with a wide variety of chaparral and woodland plants including Firs (Abies sp.), Pines (Pinus sp.), Manzanita (Arctostaphylos sp.), Ceanothus sp., toyon (Heteromeles arbutifolia), Mahonia/Barberry (Berberis sp.), and Currant/Gooseberry (Ribes sp.).",Prune to shape in winter when it is leafless. New growth in spring will be vigorous.,"Valleys, canyons, washes, slopes, seasonal drainages, and other areas where a little extra moisture is present. Sometimes found as part of wetland/riparian community, other times in more mesic portions of chaparral or woodland.","Annual Precipitation: 4.7"" - 153.6"", Summer Precipitation: 0.14"" - 5.67"", Coldest Month: 24.3"" - 57.2"", Hottest Month: 47.0"" - 80.6"", Humidity: 0.01"" - 31.90"", Elevation: -221"" - 10255""",,,,,
California blackberry (Rubus ursinus),"Shrub, Vine","2 - 6 ft tall
6 ft wide","Upright, Spreading",Fast,Winter Deciduous,Fragrant - Pleasant,White,"Spring, Winter","Pacific Blackberry is attractive to a wide ranges of wildlife, from butterflies to bears.","Brittania Moth
Acleris britannia

Orange Tortrix Moth
Argyrotaenia franciscana

Acleris keiferi

Blackberry Skeletonizer
Schreckensteinia festaliella

*
White-lined Sphinx
Hyles lineata

*
Alfalfa Looper Moth
Autographa californica","Brittania Moth
Acleris britannia","Orange Tortrix Moth
Argyrotaenia franciscana",Acleris keiferi,"Blackberry Skeletonizer
Schreckensteinia festaliella","White-lined Sphinx
Hyles lineata","Alfalfa Looper Moth
Autographa californica",,"Full Sun, Part Shade, Full Shade",Moderate - High,Max 1x / month once established,Carried by 44,Very Easy,Tolerates cold to 0° F,"Medium, Slow",Tolerates a variety of soils. Soil PH: 5.0 - 8.0,"Groundcovers, Hedges, Bird Gardens","Best used away from foot traffic in locations where its numerous prickles will not be problematic. Use under trees such as Pines (Pinus sp.), Firs (Abies sp.), Oaks (Quercus sp.), Madrone (Arbutus sp.), Cottonwoods (Populus sp.), and Willows (Salix sp.), and with shrubs such as Dogwood (Cornus sp.), wild Roses (Rosa sp.), and Currant/Gooseberry (Ribes sp.).",Use caution - very prickly. Prune during winter dormancy to shape and control spread.,From stem cuttings (canes).,"1, 2, 4*, 5*, 6*, 7*, 8, 9, 14*, 15*, 16*, 17*, 18, 19*, 20*, 21*, 22*, 23*, 24*","Moist places such as stream banks, canyons, often as part of woodland understory","Annual Precipitation: 6.7"" - 155.0"", Summer Precipitation: 0.15"" - 5.92"", Coldest Month: 32.6"" - 56.6"", Hottest Month: 52.9"" - 81.0"", Humidity: 0.01"" - 29.14"", Elevation: -22"" - 7419""",
Douglas' Sagewort (Artemisia douglasiana),Perennial herb,"8 ft tall
4 ft wide",Upright,Fast,Winter Deciduous,Fragrant - Pleasant,"Cream, White, Yellow","Spring, Summer, Fall",Various insects are attracted to the flowers,"American Lady
Vanessa virginiensis

Cosmopterix opulenta

Platyptilia williamsii

*
Painted Lady
Vanessa cardui

*
Old World Swallowtail
Papilio machaon

*
Ruddy Copper
Lycaena rubidus","American Lady
Vanessa virginiensis",Cosmopterix opulenta,Platyptilia williamsii,"Painted Lady
Vanessa cardui","Old World Swallowtail
Papilio machaon","Ruddy Copper
Lycaena rubidus",,"Full Sun, Part Shade, Full Shade","Low, Moderate - High",Max 1x / month once established,Carried by 62,Very Easy,Tolerates cold to 0° F,"Fast, Medium, Slow",Tolerant of a variety of soils as long as adequate moisture is available. Soil PH: 5.0 - 8.0,"Butterfly Gardens, Deer Resistant, Bird Gardens","Use with other plants of moist areas, such as Indigo Bush (Amorpha fruticosa), Mule Fat (Baccharis salicifolia), Dogwood (Cornus sp.), Rush (Juncus sp.), Sedge (Carex sp.), Currant/Gooseberry (Ribes sp.), wild Rose (Rosa sp.), willow (Salix sp.), and wild grape (Vitis sp.).",May be cut back to ground during dormancy,Usually from rhizome cuttings,"1, 2, 3, 4*, 5*, 6*, 7*, 8*, 9*, 10, 14*, 15*, 16*, 17*, 18*, 19*, 20*, 21*, 22*, 23*, 24*","Open, often in drainages and other wet areas, but also in woodlands, grassland and chaparral","Annual Precipitation: 4.0"" - 119.3"", Summer Precipitation: 0.13"" - 4.10"", Coldest Month: 23.0"" - 56.4"", Hottest Month: 45.7"" - 81.7"", Humidity: 0.09"" - 33.10"", Elevation: -253"" - 11501""",Common Names: California Mugwort
Sandbar Willow (Salix exigua),"Tree, Shrub",10 - 23 ft tall,Upright,"Moderate, Fast",Winter Deciduous,"Yellow, White","Spring, Winter","Plants in the genus Salix are host to a wide variety of pollinators including the Dreamy Duskywing, Viceroy, Lorquin's Admiral, Wiedemeyer's Admiral, Mourning Cloak, Western Tiger Swallowtail, Sylvan Hairstreak, various moths, and some gall-forming wasps. Some birds, such as the Least Bell's Vireo and Southwetern Willow Flycatcher, prefer to nest in large, dense willow thickets.","Western Tiger Swallowtail
Papilio rutulus

Mourning Cloak
Nymphalis antiopa

Lorquin's Admiral
Limenitis lorquini

Weidemeyer's Admiral
Limenitis weidemeyerii

Sylvan Hairstreak
Satyrium sylvinus

Ceanothus Silkmoth
Hyalophora euryalus","Western Tiger Swallowtail
Papilio rutulus","Mourning Cloak
Nymphalis antiopa","Lorquin's Admiral
Limenitis lorquini","Weidemeyer's Admiral
Limenitis weidemeyerii","Sylvan Hairstreak
Satyrium sylvinus","Ceanothus Silkmoth
Hyalophora euryalus",,Full Sun,Moderate - High,Keep moist,Carried by 24,Tolerates cold to -10° F,"Slow, Standing",Tolerant of various soils as long as there is abundant moisture available. Soil PH: 5.5 - 8.0,"Bogs and Ponds, Bird Gardens, Butterfly Gardens, Bee Gardens","Use in constantly wet area with other wetland-riparian trees and shrubs such as Maples (Acer sp.), Alders (Alnus sp.), Dogwood (Cornus sp.), California Walnut (Juglans californica or hindsii), Sycamore (Platanus racemosa), Cottonwood (Populus sp.), Currant/Gooseberry (Ribes sp.), wild Rose (Rosa sp.), and wild grape (Vitis californica or girdiana). Also works well with various wetland grasses and grass-like plants such as Sedges (Carex sp.), Spikerush (Eleocharis sp.), Rushes (Juncus sp.), and Alkali Sacaton (Sporobolus airoides)",For propagating by seed: No treatment. Use fresh seeds (usually only viable a few days). Seeds should not be covered or pressed into a medium. Seedbed should be kept saturated for the first month. Easily propogated from cuttings.,"1, 2, 3, 4, 5, 6*, 7*, 8*, 9*, 10*, 11*, 12*, 13*, 14*, 15*, 16*, 17*, 18*, 19*, 20*, 21*, 22*, 23*, 24*","Streamsides, marshes, pond margins, drainage ditches, and other wet areas","Annual Precipitation: 2.4"" - 93.0"", Summer Precipitation: 0.14"" - 3.39"", Coldest Month: 23.6"" - 61.6"", Hottest Month: 44.8"" - 88.8"", Humidity: 0.09"" - 42.81"", Elevation: -198"" - 10807""","Common Names: Coyote Willow, Desert Willow, Narrowleaf Willow",,,
Alkali Sacaton (Sporobolus airoides),Grasses,"3 - 4 ft tall
2 ft wide","Upright, Fountain",Moderate,Winter Deciduous,None,Yellow,Summer,,"*
Sandhill Skipper
Polites sabuleti

*
Wandering Skipper
Panoquina errans

*
White-lined Sphinx
Hyles lineata","Sandhill Skipper
Polites sabuleti","Wandering Skipper
Panoquina errans","White-lined Sphinx
Hyles lineata",Full Sun,"Low, Moderate - High",Max 2x / month once established,Carried by 39,Very Easy,Tolerates cold to 5° F,Medium,Tolerates a variety of soils. Tolerates Sodic Soil. Soil PH: 7.0 - 9.0,"Groundcovers, Deer Resistant","Use with other moisture loving or alkali-tolerant plants such as Saltbush (Atriplex sp.), Apache Plume (Fallugia paradoxa), Rush (Juncus sp.), Evening PrimRose (Oenothera elata), and Antelope Bitterbrush (Purshia tridentata)",Dormant plants may be cut back,"For propagating by seed: Soak in 1% ( 2% okay) potassium nitrate for 24 hrs.; sowing wet gives slightly better results than air drying 1-3 days first. Germinate at high diurnal fluctuation, room temperature ( 70.5° to 78.8°) and 91.4°P (Anonymous 1944). No treatment. but using the high diurnal fluctua- tion (60.8° to 75.2°) and 95°P may also give good results [Toole 1941); for fresh seeds 2 wks. stratification first may improve germination (Toole 1941). No treatment. if sown outdoors in southern California during July or August may give good germination.","1, 2, 3, 7*, 8*, 9*, 10*, 11*, 12*, 13*, 14*, 15*, 16*, 17*, 18*, 19*, 20*, 21*, 22*, 23*, 24*","Found in generally arid landscapes where there is underground moisture, including alkaline sinks, playas, edges of vernal pools or seasonal drainages","Annual Precipitation: 1.9"" - 29.4"", Summer Precipitation: 0.14"" - 2.73"", Coldest Month: 27.7"" - 61.6"", Hottest Month: 57.6"" - 90.7"", Humidity: 1.13"" - 49.06"", Elevation: -271"" - 7712""",,,,,
Saltgrass (Distichlis spicata),Grass,1.1 - 1.6 ft tall,Upright,"Moderate, Slow",Yellow,Summer,Several species of Skipper butterflies use this species as host plant. A number of birds and small mammals also utilize this plant.,"Sandhill Skipper
Polites sabuleti

Wandering Skipper
Panoquina errans

Alkali Skipper
Pseudocopaeodes eunus

Sachem
Atalopedes campestris

Orange Skipperling
Copaeodes aurantiaca

*
White-lined Sphinx
Hyles lineata","Sandhill Skipper
Polites sabuleti","Wandering Skipper
Panoquina errans","Alkali Skipper
Pseudocopaeodes eunus","Sachem
Atalopedes campestris","Orange Skipperling
Copaeodes aurantiaca","White-lined Sphinx
Hyles lineata",,Full Sun,Moderate - High,Keep moist,Carried by 28,Moderately Easy,Tolerates cold to 0° F,"Fast, Medium, Slow, Standing","Prefers sand or sandstone. Tolerates Saline Soil,Tolerates Sodic Soil. Soil PH: 5.0 - 8.5","Groundcovers, Butterfly Gardens","Use with other wetland and/or Salt tolerant species such as Seaheath (Frankenia salina), Goldenbush (Isocoma menziesii), bog rush (Juncus effusus), Sealavender (Limonium californicum), Marsh Fleabane (Pluchea odorata), Pickleweed (Salicornia sp.), and Cordgrass (Spartina foliosa)","3, 4*, 5*, 6*, 7*, 8*, 9*, 10, 11, 12*, 13*, 14*, 15*, 16*, 17*, 18*, 19*, 20*, 21*, 22*, 23*, 24*","Salt marshes, moist, alkaline places","Annual Precipitation: 2.2"" - 76.3"", Summer Precipitation: 0.14"" - 2.47"", Coldest Month: 20.3"" - 61.4"", Hottest Month: 52.6"" - 90.7"", Humidity: 0.01"" - 49.06"", Elevation: -229"" - 8881""","Common Names: Desert Saltgrass, Inland Saltgrass, Marsh Spikegrass, Seashore Saltgrass",,,,
Small Flowered Melica (Melica imperfecta),Grass,"3.2 - 4 ft tall
1 ft wide","Upright, Fountain",Moderate,"Summer Semi-Deciduous, Evergreen",None,"Yellow, Brown","Spring, Winter",,"*
Rural Skipper
Ochlodes agricola

*
White-lined Sphinx
Hyles lineata","Rural Skipper
Ochlodes agricola","White-lined Sphinx
Hyles lineata","Full Sun, Part Shade",Very Low,Max 1x / month once established,Carried by 32,Very Easy,Tolerates cold to 0° F,"Fast, Medium",Tolerates a variety of soils. Soil PH: 5.0 - 8.0,"Deer Resistant, Butterfly Gardens","Use as an understory with Oaks (Quercus sp.) or other trees. Also useful in a meadow-like garden or rock garden with other native grasses, annual wildflowers, herbaceous perennials such as California poppy (Eschscholzia californica), succulents such as Dudleya spp., and various cactus species.","If allowed to go dormant in summer, the plant can be cut back to a few inches",For propagating by seed: No treatment. Best sown in fall.,"7, 11, 14*, 15*, 16*, 17*, 18*, 19*, 20*, 21*, 22*, 23*, 24*","Dry rocky and/or sandy hillsides, canyons and mesas of central and southern California, extending into the desert edge. Found with Chaparral, coastal sage scrub, and various woodland types","Annual Precipitation: 4.8"" - 57.1"", Summer Precipitation: 0.14"" - 3.08"", Coldest Month: 25.3"" - 59.1"", Hottest Month: 49.0"" - 87.7"", Humidity: 0.47"" - 38.56"", Elevation: 0"" - 10807""","Common Names: Little California Melic, Small Flower Melic, Smallflower Melicgrass",,,,,
Shadscale (Atriplex canescens),Shrub,"1 - 10 ft tall
3 - 7 ft wide","Upright, Mounding","Fast, Slow","Summer Semi-Deciduous, Evergreen","Yellow, Green","Summer, Spring",Very important bird plant in its natural range. Also attracts native bees and many butterfly species.,"Western Pygmy Blue
Brephidium exilis

Mohave Sootywing
Hesperopsis libya

San Emigdio Blue
Plebejus emigdionis

Meske's Pero Moth
Pero meskaria

Glaucina ochrofuscaria

Saltbush Sootywing
Hesperopsis alpheus","Western Pygmy Blue
Brephidium exilis","Mohave Sootywing
Hesperopsis libya","San Emigdio Blue
Plebejus emigdionis","Meske's Pero Moth
Pero meskaria",Glaucina ochrofuscaria,"Saltbush Sootywing
Hesperopsis alpheus",,Full Sun,Low,Max 1x / month once established,Carried by 21,Moderately Easy,Tolerates cold to 0 - 10° F,"Fast, Medium, Slow","Tolerates a wide variety of soil types, including salt, sand and clay and very alkaline soils.. Tolerates Saline Soil. Soil PH: 7 - 8","Hedges, Butterfly Gardens, Bird Gardens","coyote bush (Baccharis pilularis), Mojave Buckwheat (Eriogonum fasciculatum var foliolosum), Cream Bush (Holodiscus discolor), Hairy Sand Verbena (Abronia villosa), About Saltgrass (Distichlis spicata), Big Saltbush (Atriplex lentiformis), California Saltbush (Extriplex californica), Joshua Tree (Yucca brevifolia), California Box Thorn (Lycium californicum)",Subject to root rot unless drought stressed. Rabbit and deer often eat younger plants.,"For propagating by seed: Fresh seeds need dry storage for about 10 mos.; stored seeds, no treatment. (USDA Forest Service 1974; or 2.5 mos. stratification (Stidham et al. 1980).","Areas with poor soils, often salty, alkaline or clay slopes, stabilized sand dunes, gravelly washes.","Annual Precipitation: 1.9"" - 35.5"", Summer Precipitation: 0.17"" - 3.32"", Coldest Month: 25.6"" - 63.3"", Hottest Month: 55.7"" - 89.6"", Humidity: 0.74"" - 47.01"", Elevation: -234"" - 7983""",Common Names: Fourwing Saltbush,,
Bluewitch Nightshade (Solanum umbelliferum),Shrub,"2 - 3 ft tall
2 - 3 ft wide",Moderate,"Evergreen, Summer Semi-Deciduous","Blue, Lavender, Purple, Yellow","Spring, Summer, Winter","The flowers are attractive to a variety of insects, including bees and butterflies","Eggplant Leafroller
Lineodes integra

*
White-lined Sphinx
Hyles lineata

*
Alfalfa Looper Moth
Autographa californica

*
Carolina Sphinx
Manduca sexta

*
Armyworm Moth
Mythimna unipuncta

*
Subterranean Dart
Feltia subterranea","Eggplant Leafroller
Lineodes integra","White-lined Sphinx
Hyles lineata","Alfalfa Looper Moth
Autographa californica","Carolina Sphinx
Manduca sexta","Armyworm Moth
Mythimna unipuncta","Subterranean Dart
Feltia subterranea",,"Full Sun, Part Shade",Very Low,Max 1x / month once established,Carried by 24,Moderately Easy,Tolerates cold to 0° F,"Fast, Medium","Tolerates a variety of soils. Tolerates Saline Soil,Tolerates Sodic Soil. Soil PH: 5.5 - 7.5","Bee Gardens, Bird Gardens, Butterfly Gardens, Deer Resistant","Use with any Sage Scrub or Chaparral plants including Lemonadeberry (Rhus integrifolia), Manzanita (Arctostaphylos species), Mission Manzanita (Xylococcus bicolor), toyon (Heteromeles arbutifolia), Ceanothus species, Milkweed (Asclepias species), Giant Wild Rye (Elymus condensatus), Sand Aster (Corethrogyne filaginifolia), Sagebrush (Artemisia californica), Monkeyflower (Mimulus species), Encelia californica, Buckwheat (Eriogonum species), Heartleaf Keckiella (Keckiella cordifolia), Penstemon species, Salvia species, Scrub Oak (Quercus berberidifolia or dumosa), and and Yucca (Hesperoyucca whipplei or Yucca schidigera)",For propagating by seed: Stored seeds scarification or hot water for 1 hr. only ( Emery and Frey,"7*, 8, 9, 10, 14*, 15, 16, 17, 19*, 20*, 21*, 22*, 23*, 24","Dry, rocky slopes, canyons and mesas throughout the state, in various plant communities including chaparral, sage scrub, grassland, and woodlands","Annual Precipitation: 3.1"" - 117.4"", Summer Precipitation: 0.14"" - 3.91"", Coldest Month: 17.9"" - 58.8"", Hottest Month: 38.4"" - 87.6"", Humidity: 0.03"" - 43.55"", Elevation: -247"" - 14460""",,,,
